,identifier,type
0,80761012916,phone
1,80799255509,phone
2,80799433482,phone
3,80788009910,phone
4,80765948263,phone
5,80707757064,phone
6,80713288626,phone
7,80744977619,phone
8,80782603624,phone
9,80749373484,phone
10,80703645040,phone
11,80737069731,phone
12,80713319036,phone
13,80767798193,phone
14,80709955471,phone
15,80752756908,phone
16,80721438525,phone
17,80713559675,phone
18,80735851335,phone
19,80785618122,phone
20,80722783722,phone
21,80733630247,phone
22,80716282681,phone
23,80781266497,phone
24,80775109224,phone
25,80744568925,phone
26,80784387563,phone
27,80723960608,phone
28,80709651913,phone
29,80714242932,phone
30,80707688454,phone
31,80780032723,phone
32,80784950171,phone
33,80747875915,phone
34,80706902250,phone
35,80701040741,phone
36,80715335421,phone
37,80745245874,phone
38,80781243429,phone
39,80733370214,phone
40,80719079222,phone
41,80782476509,phone
42,80761010401,phone
43,80700261963,phone
44,80786211398,phone
45,80781977108,phone
46,80713418869,phone
47,80776011283,phone
48,80727205311,phone
49,80754044809,phone
50,80760656239,phone
51,80743684400,phone
52,80727749926,phone
53,80784407333,phone
54,80715589952,phone
55,80745464398,phone
56,80714153415,phone
57,80770347679,phone
58,80797070729,phone
59,80785509905,phone
60,80772480059,phone
61,80731508647,phone
62,80722902719,phone
63,80747965877,phone
64,80726018201,phone
65,80716660538,phone
66,80718121570,phone
67,80779940725,phone
68,80713395873,phone
69,80754723074,phone
70,80716683015,phone
71,80749529263,phone
72,80707578183,phone
73,80733613721,phone
74,80784216562,phone
75,80750139519,phone
76,80742949082,phone
77,80781783343,phone
78,80738261563,phone
79,80748618946,phone
80,80732235173,phone
81,80736758923,phone
82,80792212805,phone
83,80768027722,phone
84,80753830441,phone
85,80729912757,phone
86,80792014424,phone
87,80784856111,phone
88,80740020272,phone
89,80733574645,phone
90,80759855299,phone
91,80739931871,phone
92,80797392908,phone
93,80768087265,phone
94,80750627299,phone
95,80785807620,phone
96,80707932662,phone
97,80767441281,phone
98,80729333989,phone
99,80736234320,phone
100,80770011102,phone
101,80746262138,phone
102,80771311415,phone
103,80707730109,phone
104,80701808007,phone
105,80777230314,phone
106,80703361165,phone
107,80752462505,phone
108,80789476596,phone
109,80737126374,phone
110,80794356238,phone
111,80756699167,phone
112,80773994575,phone
113,80787891832,phone
114,80719044414,phone
115,80758426266,phone
116,80773123170,phone
117,80734078855,phone
118,80760517798,phone
119,80751836377,phone
120,80771345628,phone
121,80788355823,phone
122,80781451049,phone
123,80719631912,phone
124,80761795726,phone
125,80734228359,phone
126,80723937072,phone
127,80797535761,phone
128,80787219323,phone
129,80741324512,phone
130,80779043364,phone
131,80703559068,phone
132,80728763095,phone
133,80747015470,phone
134,80744569175,phone
135,80719403746,phone
136,80770141223,phone
137,80714418787,phone
138,80735896020,phone
139,80761789063,phone
140,80749953752,phone
141,80788343592,phone
142,80720564323,phone
143,80795433542,phone
144,80761949291,phone
145,80758480581,phone
146,80709759311,phone
147,80741010278,phone
148,80710922623,phone
149,80782106777,phone
150,80790988145,phone
151,80785547250,phone
152,80730388078,phone
153,80756430613,phone
154,80760886417,phone
155,80734108126,phone
156,80716516772,phone
157,80742069794,phone
158,80743085572,phone
159,80706028930,phone
160,80735153202,phone
161,80714609823,phone
162,80746386719,phone
163,80702255004,phone
164,80707634879,phone
165,80770151619,phone
166,80737290723,phone
167,80769838766,phone
